"","Drug","2001","2004","2007","2010","2013","2016","2019","State"
"1","Cannabis","11.9","10.7"," 8.0"," 9.3"," 9.5"," 9.3","11.0","NSW"
"2","Ecstasy"," 3.4"," 3.5"," 3.4"," 2.9"," 2.4"," 1.9","3.1","NSW"
"3","Meth/amphetamine(c)"," 3.4"," 3.1"," 1.8"," 1.6"," 1.4"," 0.7","1.1","NSW"
"4","Cocaine"," 1.8"," 1.2"," 2.0"," 2.7"," 2.7"," 3.4","5.0","NSW"
"5","Any illicit(d)","15.6","14.6","12.1","13.8","14.2","14.7","15.9","NSW"
"6","Cannabis","11.8"," 9.8"," 8.8"," 9.4"," 9.1"," 9.9","11.5","VIC"
"7","Ecstasy"," 3.0"," 3.1"," 3.6"," 3.1"," 2.4"," 2.4","3.7","VIC"
"8","Meth/amphetamine(c)"," 2.4"," 2.8"," 2.3"," 2.3"," 1.9"," 1.5","1.5","VIC"
"9","Cocaine"," 1.3"," 1.2"," 1.6"," 2.3"," 2.0"," 2.5","5.2","VIC"
"10","Any illicit(d)","15.9","14.3","12.8","13.7","14.3","15.0","17.1","VIC"
"11","Cannabis","12.7","12.1","9.5","11.0","11.1","11.9","12.8","QLD"
"12","Ecstasy"," 1.7"," 3.4","3.7"," 2.7"," 2.4"," 2.1","2.6","QLD"
"13","Meth/amphetamine(c)"," 2.9"," 3.0","2"," 1.9"," 2.3"," 1.5","1.2","QLD"
"14","Cocaine"," 0.7"," 0.7","1.4"," 1.3"," 2.0"," 2.1","3.6","QLD"
"15","Any illicit(d)","16.3","15.9","13.7","15.1","15.5","16.8","16.9","QLD"
"16","Cannabis","17.5","13.7","10.8","13.4","11.3","11.6","11.2","WA"
"17","Ecstasy"," 4.0","4.1"," 4.1"," 3.7"," 2.6"," 3.2"," 2.9","WA"
"18","Meth/amphetamine(c)"," 5.8","4.5"," 4.2"," 3.4"," 3.8"," 2.7"," 2.1","WA"
"19","Cocaine"," 1.5","1.2"," 1.8"," 2.2"," 1.6"," 1.6"," 2.4","WA"
"20","Any illicit(d)","21.7","17.3","16.2","18.6","17.0","16.8","15.6","WA"
"21","Cannabis","14.2","11.7","10.2","11.3","11","10.7","10.6","SA"
"22","Ecstasy","2","2.8","2.9"," 3.3","2.8"," 1.6","1.2","SA"
"23","Meth/amphetamine(c)","4.3","4.1","2.6"," 2.5","2.2"," 1.9","1.0","SA"
"24","Cocaine","0.7","0.7","1.3"," 1.7","1.2"," 2.0","2.5","SA"
"25","Any illicit(d)","17.6","15.4","14.7","14.9","15.7","15.7","15.4","SA"
"26","Cannabis","11.9","10.9","10.8","8.6","11.8","12.4","12.6","TAS"
"27","Ecstasy","0.8","1.6","2.4","1.7","2.9","2.0","2.4","TAS"
"28","Meth/amphetamine(c)","2.1","1.8","1.7","1.1","3.0","2.1","0.6","TAS"
"29","Cocaine","0.2","0.2","0.8","0.8","1.2","1.4","1.6","TAS"
"30","Any illicit(d)","14.4","15.4","14.8","12","15.1","17.4","16.5","TAS"
"31","Cannabis","14.4","14","9.1","9.5","10.1","8.4","10.5","ACT"
"32","Ecstasy","4.8","6","4.7","2.3"," 2.9","2.2","2.3","ACT"
"33","Meth/amphetamine(c)","4.5","4.3","2.3","1.2"," 2.2","1.1","0.3","ACT"
"34","Cocaine","1.5","1.6","1.4","1.8"," 2.8","1.9","3.5","ACT"
"35","Any illicit(d)","17.8","17.6","13.8","13.9","15.3","12.9","14.6","ACT"
"36","Cannabis","24.4","20.9","13.8","16.5","17.1","16","15.9","NT"
"37","Ecstasy","2.8","3.7","4.2","3.2","3.7","2.9","3","NT"
"38","Meth/amphetamine(c)","6.3","3.9","2.3","2.1","2.8","1.4","1.5","NT"
"39","Cocaine","0.5","1.0","0.9","0.5","2.4","2.5","3.1","NT"
"40","Any illicit(d)","28.7","26","20.4","21.3","22","21.6","19.6","NT"
"41","Cannabis","15.9","12.9","11.3"," 9.1","10.3","10.2","10.4","ALL AUSTRALIA"
"42","Ecstasy","3"," 2.9"," 3.4"," 3.5"," 3.0"," 2.5"," 2.2","ALL AUSTRALIA"
"43","Meth/amphetamine(c)","1.5"," 3.4"," 3.2"," 2.3"," 2.1"," 2.1"," 1.4","ALL AUSTRALIA"
"44","Cocaine","3.1"," 1.3"," 1.0"," 1.6"," 2.1"," 2.1"," 2.5","ALL AUSTRALIA"
"45","Any illicit(d)","19.6","16.7","15.3","13.4","14.7","15.0","15.6","ALL AUSTRALIA"
