"","Sex","Mechanism","Measure","variable","value"
"19","Males","Poisons (excl. gas)","Number","1907","57"
"20","Males","Gas","Number","1907",". ."
"21","Males","Firearms","Number","1907","129"
"22","Males","Hanging","Number","1907","71"
"23","Males","Other mechanisms","Number","1907",". ."
"24","Males","All mechanisms","Number","1907","385"
"25","Females","Poisons (excl. gas)","Number","1907","32"
"26","Females","Gas","Number","1907",". ."
"27","Females","Firearms","Number","1907","3"
"28","Females","Hanging","Number","1907","12"
"29","Females","Other mechanisms","Number","1907",". ."
"30","Females","All mechanisms","Number","1907","76"
"70","Males","Poisons (excl. gas)","Number","1908","88"
"71","Males","Gas","Number","1908",". ."
"72","Males","Firearms","Number","1908","146"
"73","Males","Hanging","Number","1908","68"
"74","Males","Other mechanisms","Number","1908",". ."
"75","Males","All mechanisms","Number","1908","413"
"76","Females","Poisons (excl. gas)","Number","1908","35"
"77","Females","Gas","Number","1908",". ."
"78","Females","Firearms","Number","1908","7"
"79","Females","Hanging","Number","1908","15"
"80","Females","Other mechanisms","Number","1908",". ."
"81","Females","All mechanisms","Number","1908","84"
"121","Males","Poisons (excl. gas)","Number","1909","70"
"122","Males","Gas","Number","1909",". ."
"123","Males","Firearms","Number","1909","138"
"124","Males","Hanging","Number","1909","67"
"125","Males","Other mechanisms","Number","1909",". ."
"126","Males","All mechanisms","Number","1909","398"
"127","Females","Poisons (excl. gas)","Number","1909","54"
"128","Females","Gas","Number","1909",". ."
"129","Females","Firearms","Number","1909","6"
"130","Females","Hanging","Number","1909","9"
"131","Females","Other mechanisms","Number","1909",". ."
"132","Females","All mechanisms","Number","1909","97"
"172","Males","Poisons (excl. gas)","Number","1910","79"
"173","Males","Gas","Number","1910",". ."
"174","Males","Firearms","Number","1910","134"
"175","Males","Hanging","Number","1910","72"
"176","Males","Other mechanisms","Number","1910",". ."
"177","Males","All mechanisms","Number","1910","432"
"178","Females","Poisons (excl. gas)","Number","1910","34"
"179","Females","Gas","Number","1910",". ."
"180","Females","Firearms","Number","1910","6"
"181","Females","Hanging","Number","1910","10"
"182","Females","Other mechanisms","Number","1910",". ."
"183","Females","All mechanisms","Number","1910","84"
"223","Males","Poisons (excl. gas)","Number","1911","93"
"224","Males","Gas","Number","1911",". ."
"225","Males","Firearms","Number","1911","133"
"226","Males","Hanging","Number","1911","69"
"227","Males","Other mechanisms","Number","1911",". ."
"228","Males","All mechanisms","Number","1911","446"
"229","Females","Poisons (excl. gas)","Number","1911","52"
"230","Females","Gas","Number","1911",". ."
"231","Females","Firearms","Number","1911","9"
"232","Females","Hanging","Number","1911","10"
"233","Females","Other mechanisms","Number","1911",". ."
"234","Females","All mechanisms","Number","1911","98"
"274","Males","Poisons (excl. gas)","Number","1912","128"
"275","Males","Gas","Number","1912",". ."
"276","Males","Firearms","Number","1912","168"
"277","Males","Hanging","Number","1912","79"
"278","Males","Other mechanisms","Number","1912",". ."
"279","Males","All mechanisms","Number","1912","514"
"280","Females","Poisons (excl. gas)","Number","1912","70"
"281","Females","Gas","Number","1912",". ."
"282","Females","Firearms","Number","1912","10"
"283","Females","Hanging","Number","1912","12"
"284","Females","Other mechanisms","Number","1912",". ."
"285","Females","All mechanisms","Number","1912","118"
"325","Males","Poisons (excl. gas)","Number","1913","127"
"326","Males","Gas","Number","1913",". ."
"327","Males","Firearms","Number","1913","163"
"328","Males","Hanging","Number","1913","79"
"329","Males","Other mechanisms","Number","1913",". ."
"330","Males","All mechanisms","Number","1913","516"
"331","Females","Poisons (excl. gas)","Number","1913","76"
"332","Females","Gas","Number","1913",". ."
"333","Females","Firearms","Number","1913","9"
"334","Females","Hanging","Number","1913","22"
"335","Females","Other mechanisms","Number","1913",". ."
"336","Females","All mechanisms","Number","1913","131"
"376","Males","Poisons (excl. gas)","Number","1914","121"
"377","Males","Gas","Number","1914",". ."
"378","Males","Firearms","Number","1914","201"
"379","Males","Hanging","Number","1914","72"
"380","Males","Other mechanisms","Number","1914",". ."
"381","Males","All mechanisms","Number","1914","534"
"382","Females","Poisons (excl. gas)","Number","1914","61"
"383","Females","Gas","Number","1914",". ."
"384","Females","Firearms","Number","1914","4"
"385","Females","Hanging","Number","1914","15"
"386","Females","Other mechanisms","Number","1914",". ."
"387","Females","All mechanisms","Number","1914","109"
"427","Males","Poisons (excl. gas)","Number","1915","105"
"428","Males","Gas","Number","1915",". ."
"429","Males","Firearms","Number","1915","196"
"430","Males","Hanging","Number","1915","84"
"431","Males","Other mechanisms","Number","1915",". ."
"432","Males","All mechanisms","Number","1915","537"
"433","Females","Poisons (excl. gas)","Number","1915","64"
"434","Females","Gas","Number","1915",". ."
"435","Females","Firearms","Number","1915","5"
"436","Females","Hanging","Number","1915","18"
"437","Females","Other mechanisms","Number","1915",". ."
"438","Females","All mechanisms","Number","1915","122"
"478","Males","Poisons (excl. gas)","Number","1916","77"
"479","Males","Gas","Number","1916",". ."
"480","Males","Firearms","Number","1916","175"
"481","Males","Hanging","Number","1916","74"
"482","Males","Other mechanisms","Number","1916",". ."
"483","Males","All mechanisms","Number","1916","466"
"484","Females","Poisons (excl. gas)","Number","1916","52"
"485","Females","Gas","Number","1916",". ."
"486","Females","Firearms","Number","1916","8"
"487","Females","Hanging","Number","1916","11"
"488","Females","Other mechanisms","Number","1916",". ."
"489","Females","All mechanisms","Number","1916","111"
"529","Males","Poisons (excl. gas)","Number","1917","79"
"530","Males","Gas","Number","1917",". ."
"531","Males","Firearms","Number","1917","144"
"532","Males","Hanging","Number","1917","48"
"533","Males","Other mechanisms","Number","1917",". ."
"534","Males","All mechanisms","Number","1917","408"
"535","Females","Poisons (excl. gas)","Number","1917","45"
"536","Females","Gas","Number","1917",". ."
"537","Females","Firearms","Number","1917","7"
"538","Females","Hanging","Number","1917","13"
"539","Females","Other mechanisms","Number","1917",". ."
"540","Females","All mechanisms","Number","1917","94"
"580","Males","Poisons (excl. gas)","Number","1918","57"
"581","Males","Gas","Number","1918",". ."
"582","Males","Firearms","Number","1918","154"
"583","Males","Hanging","Number","1918","56"
"584","Males","Other mechanisms","Number","1918",". ."
"585","Males","All mechanisms","Number","1918","408"
"586","Females","Poisons (excl. gas)","Number","1918","31"
"587","Females","Gas","Number","1918",". ."
"588","Females","Firearms","Number","1918","11"
"589","Females","Hanging","Number","1918","16"
"590","Females","Other mechanisms","Number","1918",". ."
"591","Females","All mechanisms","Number","1918","90"
"631","Males","Poisons (excl. gas)","Number","1919","86"
"632","Males","Gas","Number","1919",". ."
"633","Males","Firearms","Number","1919","148"
"634","Males","Hanging","Number","1919","60"
"635","Males","Other mechanisms","Number","1919",". ."
"636","Males","All mechanisms","Number","1919","440"
"637","Females","Poisons (excl. gas)","Number","1919","47"
"638","Females","Gas","Number","1919",". ."
"639","Females","Firearms","Number","1919","7"
"640","Females","Hanging","Number","1919","15"
"641","Females","Other mechanisms","Number","1919",". ."
"642","Females","All mechanisms","Number","1919","106"
"682","Males","Poisons (excl. gas)","Number","1920","93"
"683","Males","Gas","Number","1920",". ."
"684","Males","Firearms","Number","1920","191"
"685","Males","Hanging","Number","1920","64"
"686","Males","Other mechanisms","Number","1920",". ."
"687","Males","All mechanisms","Number","1920","516"
"688","Females","Poisons (excl. gas)","Number","1920","55"
"689","Females","Gas","Number","1920",". ."
"690","Females","Firearms","Number","1920","7"
"691","Females","Hanging","Number","1920","25"
"692","Females","Other mechanisms","Number","1920",". ."
"693","Females","All mechanisms","Number","1920","120"
"733","Males","Poisons (excl. gas)","Number","1921","95"
"734","Males","Gas","Number","1921",". ."
"735","Males","Firearms","Number","1921","168"
"736","Males","Hanging","Number","1921","68"
"737","Males","Other mechanisms","Number","1921",". ."
"738","Males","All mechanisms","Number","1921","510"
"739","Females","Poisons (excl. gas)","Number","1921","54"
"740","Females","Gas","Number","1921",". ."
"741","Females","Firearms","Number","1921","8"
"742","Females","Hanging","Number","1921","13"
"743","Females","Other mechanisms","Number","1921",". ."
"744","Females","All mechanisms","Number","1921","111"
"784","Males","Poisons (excl. gas)","Number","1922","91"
"785","Males","Gas","Number","1922","n.p."
"786","Males","Firearms","Number","1922","119"
"787","Males","Hanging","Number","1922","70"
"788","Males","Other mechanisms","Number","1922",". ."
"789","Males","All mechanisms","Number","1922","441"
"790","Females","Poisons (excl. gas)","Number","1922","44"
"791","Females","Gas","Number","1922","0"
"792","Females","Firearms","Number","1922","3"
"793","Females","Hanging","Number","1922","9"
