"","Sex","Mechanism","variable","Age-standardised rate (per 100,000)","Median age at death (years)","Number"
"1","Females","All mechanisms","1907","5.2225526",". .","76"
"2","Females","All mechanisms","1908","4.6663325",". .","84"
"3","Females","All mechanisms","1909","5.3075624",". .","97"
"4","Females","All mechanisms","1910","4.935708",". .","84"
"5","Females","All mechanisms","1911","5.4595906",". .","98"
"6","Females","All mechanisms","1912","5.9598204",". .","118"
"7","Females","All mechanisms","1913","6.7097411",". .","131"
"8","Females","All mechanisms","1914","5.4410025",". .","109"
"9","Females","All mechanisms","1915","6.1458059",". .","122"
"10","Females","All mechanisms","1916","5.3257542",". .","111"
"11","Females","All mechanisms","1917","4.2691815",". .","94"
"12","Females","All mechanisms","1918","4.3094657",". .","90"
"13","Females","All mechanisms","1919","5.0908007",". .","106"
"14","Females","All mechanisms","1920","5.4207142",". .","120"
"15","Females","All mechanisms","1921","4.9756697",". .","111"
"16","Females","All mechanisms","1922","3.8935525",". .","92"
"17","Females","All mechanisms","1923","4.4418698",". .","107"
"18","Females","All mechanisms","1924","4.9115584",". .","119"
"19","Females","All mechanisms","1925","5.2539461",". .","131"
"20","Females","All mechanisms","1926","5.3120337",". .","128"
"21","Females","All mechanisms","1927","5.48648",". .","142"
"22","Females","All mechanisms","1928","5.4117468",". .","142"
"23","Females","All mechanisms","1929","5.1353571",". .","141"
"24","Females","All mechanisms","1930","5.3375197",". .","152"
"25","Females","All mechanisms","1931","4.8957077",". .","138"
"26","Females","All mechanisms","1932","5.4508141",". .","156"
"27","Females","All mechanisms","1933","5.2482939",". .","157"
"28","Females","All mechanisms","1934","6.0809172",". .","183"
"29","Females","All mechanisms","1935","6.0015048",". .","179"
"30","Females","All mechanisms","1936","5.8091363",". .","178"
"31","Females","All mechanisms","1937","4.8440062",". .","148"
"32","Females","All mechanisms","1938","5.3361395",". .","169"
"33","Females","All mechanisms","1939","5.6116563",". .","179"
"34","Females","All mechanisms","1940","5.5060401",". .","175"
"35","Females","All mechanisms","1941","4.8138302",". .","161"
"36","Females","All mechanisms","1942","4.7986872",". .","162"
"37","Females","All mechanisms","1943","4.2982244",". .","140"
"38","Females","All mechanisms","1944","5.1720909",". .","178"
"39","Females","All mechanisms","1945","5.0525089",". .","173"
"40","Females","All mechanisms","1946","6.5053852",". .","219"
"41","Females","All mechanisms","1947","5.6890429",". .","200"
"42","Females","All mechanisms","1948","4.6348263",". .","159"
"43","Females","All mechanisms","1949","4.7311627",". .","174"
"44","Females","All mechanisms","1950","5.1095135",". .","193"
"45","Females","All mechanisms","1951","5.1762631",". .","197"
"46","Females","All mechanisms","1952","5.9149543",". .","225"
"47","Females","All mechanisms","1953","6.8001233",". .","261"
"48","Females","All mechanisms","1954","6.1415848",". .","245"
"49","Females","All mechanisms","1955","6.0971864",". .","245"
"50","Females","All mechanisms","1956","6.5881852",". .","270"
"51","Females","All mechanisms","1957","7.7236067",". .","326"
"52","Females","All mechanisms","1958","6.9059945",". .","297"
"53","Females","All mechanisms","1959","6.6482262",". .","288"
"54","Females","All mechanisms","1960","7.1324818",". .","314"
"55","Females","All mechanisms","1961","7.6333047",". .","348"
"56","Females","All mechanisms","1962","9.9760138",". .","458"
"57","Females","All mechanisms","1963","12.312248",". .","575"
"58","Females","All mechanisms","1964","11.473692","47","549"
"59","Females","All mechanisms","1965","12.456308","47","610"
"60","Females","All mechanisms","1966","12.245685","46","607"
"61","Females","All mechanisms","1967","12.87561","47","653"
"62","Females","All mechanisms","1968","9.8679963","47","505"
"63","Females","All mechanisms","1969","9.1154496","47","477"
"64","Females","All mechanisms","1970","8.7525472","47","475"
"65","Females","All mechanisms","1971","10.372478","45","588"
"66","Females","All mechanisms","1972","9.3999766","45","540"
"67","Females","All mechanisms","1973","8.3078944","47","492"
"68","Females","All mechanisms","1974","8.2511342","47","494"
